company,segment,emotion_score,emotional_entry_count,average_sentiment_score,sentiment_entry_count,percentage_difference,starting_time
facebook1,output198,-0.5,4.0,-0.428236186504364,7.0,0.1519152103931976,13:03:39
facebook1,output199,,,-0.6572494705518087,6.0,0.0273406157396773,13:04:39
facebook1,output200,,,0.2270810729578921,19.0,-0.008574382194127,13:05:39
facebook1,output201,,,0.7555751374789647,14.0,0.0069239702750595,13:06:39
facebook1,output202,,,-0.0090961530804634,8.0,-0.0703649745140204,13:07:39
facebook1,output203,,,0.3377391397953033,12.0,0.0298168737220111,13:08:39
facebook1,output204,,,0.0462668287126641,19.0,0.009734138981213,13:09:39
facebook1,output205,-1.0,3.0,-0.0869359175364176,9.0,-0.0029935053068721,13:10:39
facebook1,output206,-0.8333333333333334,6.0,-0.4396851360797882,14.0,-0.0235318794992592,13:11:39
facebook1,output207,,,0.0697685241699218,15.0,-0.041777152107726,13:12:39
facebook1,output208,-1.0,1.0,-0.0033488273620605,10.0,-0.0509342162217351,13:13:39
facebook1,output209,,,0.1049071103334426,20.0,0.0621976715018252,13:14:39
facebook1,output210,,,0.1276473701000213,12.0,0.1393615966001946,13:15:39
facebook1,output211,,,0.2100638059469369,13.0,-0.0334861354746159,13:16:39
facebook1,output212,,,0.1553240001201629,10.0,0.0261534648273479,13:17:39
facebook1,output213,,,-0.008905827999115,12.0,0.182355694082178,13:18:39
facebook1,output214,,,0.4782986640930176,16.0,0.0729352197496261,13:19:39
facebook1,output215,0.0,1.0,-0.5411501675844193,4.0,0.1668305606020399,13:20:39
facebook1,output216,,,-0.347325603167216,6.0,-0.2137558066260706,13:21:39
facebook1,output217,-1.0,1.0,-0.7196254815374102,7.0,-0.0276675535580117,13:22:39
facebook1,output218,,,0.4578767451975081,18.0,-0.0083945856987015,13:23:39
facebook1,output219,,,-0.2542987934180668,14.0,0.0809346416400169,13:24:39
facebook1,output220,,,-0.7107692446027484,7.0,-0.0264523495309945,13:25:39
facebook1,output221,,,0.0817617433411734,7.0,-0.0511411267240507,13:26:39
facebook1,output222,,,0.0809740197090875,21.0,-0.0120624932093031,13:27:39
facebook1,output223,,,-0.4624958580190485,11.0,-0.0892831880885566,13:28:39
facebook1,output224,,,-0.1753231008847554,15.0,0.0249726171539139,13:29:39
facebook1,output225,-1.0,13.0,-0.300977337360382,15.0,-0.0728432212018727,13:30:39
facebook1,output226,,,-0.6702704355120659,8.0,-0.0340657750495134,13:31:39
facebook1,output227,,,0.0985174814860025,15.0,0.1396376539618204,13:32:39
facebook1,output228,,,0.4815872337507166,23.0,-0.0107016048992048,13:33:39
